pokemon,id,species_id,height,weight,base_experience,type_1,type_2,attack,defense,hp,special_attack,special_defense,speed,ability_1,ability_2,ability_hidden,color_1,color_2,color_f,egg_group_1,egg_group_2,url_image,generation_id,evolves_from_species_id,evolution_chain_id,shape_id,shape,pokebase,pokedex
mareep,194,179,6,78,56,electric,NA,40,40,55,65,45,35,static,NA,plus,#F8D030,NA,NA,monster,ground,http://assets.pokemon.com/assets/cms2/img/pokedex/full/179.png,2,NA,89,8,quadruped,mareep,http://www.pokemon.com/us/pokedex/mareep
flaaffy,195,180,8,133,128,electric,NA,55,55,70,80,60,45,static,NA,plus,#F8D030,NA,NA,monster,ground,http://assets.pokemon.com/assets/cms2/img/pokedex/full/180.png,2,179,89,6,upright,flaaffy,http://www.pokemon.com/us/pokedex/flaaffy
ampharos,196,181,14,615,230,electric,NA,75,85,90,115,90,55,static,NA,plus,#F8D030,NA,NA,monster,ground,http://assets.pokemon.com/assets/cms2/img/pokedex/full/181.png,2,180,89,6,upright,ampharos,http://www.pokemon.com/us/pokedex/ampharos
ampharos-mega,197,181,14,615,275,electric,dragon,95,105,90,165,110,45,mold-breaker,NA,NA,#F8D030,#7038F8,#D7AB60,monster,ground,http://assets.pokemon.com/assets/cms2/img/pokedex/full/181_f2.png,NA,NA,NA,NA,NA,ampharos,http://www.pokemon.com/us/pokedex/ampharos
bellossom,198,182,4,58,221,grass,NA,80,95,75,90,100,50,chlorophyll,NA,healer,#78C850,NA,NA,plant,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/182.png,2,44,18,12,humanoid,bellossom,http://www.pokemon.com/us/pokedex/bellossom
marill,199,183,4,85,88,water,fairy,20,50,70,20,50,40,thick-fat,huge-power,sap-sipper,#6890F0,#EE99AC,#8892DF,water1,fairy,http://assets.pokemon.com/assets/cms2/img/pokedex/full/183.png,2,298,90,6,upright,marill,http://www.pokemon.com/us/pokedex/marill
azumarill,200,184,8,285,189,water,fairy,50,80,100,60,80,50,thick-fat,huge-power,sap-sipper,#6890F0,#EE99AC,#8892DF,water1,fairy,http://assets.pokemon.com/assets/cms2/img/pokedex/full/184.png,2,183,90,6,upright,azumarill,http://www.pokemon.com/us/pokedex/azumarill
sudowoodo,201,185,12,380,144,rock,NA,100,115,70,30,65,30,sturdy,rock-head,rattled,#B8A038,NA,NA,mineral,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/185.png,2,438,91,12,humanoid,sudowoodo,http://www.pokemon.com/us/pokedex/sudowoodo
politoed,202,186,11,339,225,water,NA,75,75,90,90,100,70,water-absorb,damp,drizzle,#6890F0,NA,NA,water1,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/186.png,2,61,26,12,humanoid,politoed,http://www.pokemon.com/us/pokedex/politoed
hoppip,203,187,4,5,50,grass,flying,35,40,35,35,55,50,chlorophyll,leaf-guard,infiltrator,#78C850,#A890F0,#83BA76,fairy,plant,http://assets.pokemon.com/assets/cms2/img/pokedex/full/187.png,2,NA,92,6,upright,hoppip,http://www.pokemon.com/us/pokedex/hoppip
skiploom,204,188,6,10,119,grass,flying,45,50,55,45,65,80,chlorophyll,leaf-guard,infiltrator,#78C850,#A890F0,#83BA76,fairy,plant,http://assets.pokemon.com/assets/cms2/img/pokedex/full/188.png,2,187,92,6,upright,skiploom,http://www.pokemon.com/us/pokedex/skiploom
jumpluff,205,189,8,30,207,grass,flying,55,70,75,55,95,110,chlorophyll,leaf-guard,infiltrator,#78C850,#A890F0,#83BA76,fairy,plant,http://assets.pokemon.com/assets/cms2/img/pokedex/full/189.png,2,188,92,6,upright,jumpluff,http://www.pokemon.com/us/pokedex/jumpluff
aipom,206,190,8,115,72,normal,NA,70,55,55,40,55,85,run-away,pickup,skill-link,#A8A878,NA,NA,ground,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/190.png,2,NA,93,6,upright,aipom,http://www.pokemon.com/us/pokedex/aipom
sunkern,207,191,3,18,36,grass,NA,30,30,30,30,30,30,chlorophyll,solar-power,early-bird,#78C850,NA,NA,plant,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/191.png,2,NA,94,1,ball,sunkern,http://www.pokemon.com/us/pokedex/sunkern
sunflora,208,192,8,85,149,grass,NA,75,55,75,105,85,30,chlorophyll,solar-power,early-bird,#78C850,NA,NA,plant,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/192.png,2,191,94,12,humanoid,sunflora,http://www.pokemon.com/us/pokedex/sunflora
yanma,209,193,12,380,78,bug,flying,65,45,65,75,45,95,speed-boost,compound-eyes,frisk,#A8B820,#A890F0,#A8AE52,bug,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/193.png,2,NA,95,13,bug-wings,yanma,http://www.pokemon.com/us/pokedex/yanma
wooper,210,194,4,85,42,water,ground,45,45,55,25,25,15,damp,water-absorb,unaware,#6890F0,#E0C068,#859BCF,water1,ground,http://assets.pokemon.com/assets/cms2/img/pokedex/full/194.png,2,NA,96,7,legs,wooper,http://www.pokemon.com/us/pokedex/wooper
quagsire,211,195,14,750,151,water,ground,85,85,95,65,65,35,damp,water-absorb,unaware,#6890F0,#E0C068,#859BCF,water1,ground,http://assets.pokemon.com/assets/cms2/img/pokedex/full/195.png,2,194,96,6,upright,quagsire,http://www.pokemon.com/us/pokedex/quagsire
espeon,212,196,9,265,184,psychic,NA,65,60,65,130,95,110,synchronize,NA,magic-bounce,#F85888,NA,NA,ground,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/196.png,2,133,67,8,quadruped,espeon,http://www.pokemon.com/us/pokedex/espeon
umbreon,213,197,10,270,184,dark,NA,65,110,95,60,130,65,synchronize,NA,inner-focus,#705848,NA,NA,ground,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/197.png,2,133,67,8,quadruped,umbreon,http://www.pokemon.com/us/pokedex/umbreon
murkrow,214,198,5,21,81,dark,flying,85,42,60,85,42,91,insomnia,super-luck,prankster,#705848,#A890F0,#7D6570,flying,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/198.png,2,NA,97,9,wings,murkrow,http://www.pokemon.com/us/pokedex/murkrow
slowking,215,199,20,795,172,water,psychic,75,80,95,100,110,30,oblivious,own-tempo,regenerator,#6890F0,#F85888,#8A82D6,monster,water1,http://assets.pokemon.com/assets/cms2/img/pokedex/full/199.png,2,79,33,6,upright,slowking,http://www.pokemon.com/us/pokedex/slowking
misdreavus,216,200,7,10,87,ghost,NA,60,60,60,85,85,85,levitate,NA,NA,#705898,NA,NA,indeterminate,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/200.png,2,NA,98,1,ball,misdreavus,http://www.pokemon.com/us/pokedex/misdreavus
unown,217,201,5,50,118,psychic,NA,72,48,48,72,48,48,levitate,NA,NA,#F85888,NA,NA,no-eggs,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/201.png,2,NA,99,1,ball,unown,http://www.pokemon.com/us/pokedex/unown
wobbuffet,218,202,13,285,142,psychic,NA,33,58,190,33,58,33,shadow-tag,NA,telepathy,#F85888,NA,NA,indeterminate,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/202.png,2,360,100,5,blob,wobbuffet,http://www.pokemon.com/us/pokedex/wobbuffet
girafarig,219,203,15,415,159,normal,psychic,80,65,70,90,65,85,inner-focus,early-bird,sap-sipper,#A8A878,#F85888,#BB947B,ground,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/203.png,2,NA,101,8,quadruped,girafarig,http://www.pokemon.com/us/pokedex/girafarig
pineco,220,204,6,72,58,bug,NA,65,90,50,35,35,15,sturdy,NA,overcoat,#A8B820,NA,NA,bug,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/204.png,2,NA,102,1,ball,pineco,http://www.pokemon.com/us/pokedex/pineco
forretress,221,205,12,1258,163,bug,steel,90,140,75,60,60,40,sturdy,NA,overcoat,#A8B820,#B8B8D0,#ABB84A,bug,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/205.png,2,204,102,1,ball,forretress,http://www.pokemon.com/us/pokedex/forretress
dunsparce,222,206,15,140,145,normal,NA,70,70,100,65,65,45,serene-grace,run-away,rattled,#A8A878,NA,NA,ground,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/206.png,2,NA,103,2,squiggle,dunsparce,http://www.pokemon.com/us/pokedex/dunsparce
gligar,223,207,11,648,86,ground,flying,75,105,65,35,65,85,hyper-cutter,sand-veil,immunity,#E0C068,#A890F0,#D2B488,bug,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/207.png,2,NA,104,9,wings,gligar,http://www.pokemon.com/us/pokedex/gligar
steelix,224,208,92,4000,179,steel,ground,85,200,75,55,65,30,rock-head,sturdy,sheer-force,#B8B8D0,#E0C068,#C1B9B6,mineral,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/208.png,2,95,41,2,squiggle,steelix,http://www.pokemon.com/us/pokedex/steelix
steelix-mega,225,208,1050,7400,214,steel,ground,125,230,75,55,95,30,sand-force,NA,NA,#B8B8D0,#E0C068,#C1B9B6,mineral,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/208_f2.png,NA,NA,NA,NA,NA,steelix,http://www.pokemon.com/us/pokedex/steelix
snubbull,226,209,6,78,60,fairy,NA,80,50,60,40,40,30,intimidate,run-away,rattled,#EE99AC,NA,NA,ground,fairy,http://assets.pokemon.com/assets/cms2/img/pokedex/full/209.png,2,NA,105,12,humanoid,snubbull,http://www.pokemon.com/us/pokedex/snubbull
granbull,227,210,14,487,158,fairy,NA,120,75,90,60,60,45,intimidate,quick-feet,rattled,#EE99AC,NA,NA,ground,fairy,http://assets.pokemon.com/assets/cms2/img/pokedex/full/210.png,2,209,105,6,upright,granbull,http://www.pokemon.com/us/pokedex/granbull
qwilfish,228,211,5,39,86,water,poison,95,75,65,55,55,85,poison-point,swift-swim,intimidate,#6890F0,#A040A0,#757CDC,water2,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/211.png,2,NA,106,3,fish,qwilfish,http://www.pokemon.com/us/pokedex/qwilfish
scizor,229,212,18,1180,175,bug,steel,130,100,70,55,80,65,swarm,technician,light-metal,#A8B820,#B8B8D0,#ABB84A,bug,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/212.png,2,123,58,13,bug-wings,scizor,http://www.pokemon.com/us/pokedex/scizor
scizor-mega,230,212,20,1250,210,bug,steel,150,140,70,65,100,75,technician,NA,NA,#A8B820,#B8B8D0,#ABB84A,bug,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/212_f2.png,NA,NA,NA,NA,NA,scizor,http://www.pokemon.com/us/pokedex/scizor
shuckle,231,213,6,205,177,bug,rock,10,230,20,10,230,5,sturdy,gluttony,contrary,#A8B820,#B8A038,#ABB225,bug,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/213.png,2,NA,107,14,armor,shuckle,http://www.pokemon.com/us/pokedex/shuckle
heracross,232,214,15,540,175,bug,fighting,125,75,80,40,95,85,swarm,guts,moxie,#A8B820,#C03028,#AD9721,bug,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/214.png,2,NA,108,12,humanoid,heracross,http://www.pokemon.com/us/pokedex/heracross
heracross-mega,233,214,17,625,210,bug,fighting,185,115,80,40,105,75,skill-link,NA,NA,#A8B820,#C03028,#AD9721,bug,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/214_f2.png,NA,NA,NA,NA,NA,heracross,http://www.pokemon.com/us/pokedex/heracross
sneasel,234,215,9,280,86,dark,ice,95,55,55,35,75,115,inner-focus,keen-eye,pickpocket,#705848,#98D8D8,#79776A,ground,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/215.png,2,NA,109,6,upright,sneasel,http://www.pokemon.com/us/pokedex/sneasel
teddiursa,235,216,6,88,66,normal,NA,80,50,60,50,50,40,pickup,quick-feet,honey-gather,#A8A878,NA,NA,ground,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/216.png,2,NA,110,6,upright,teddiursa,http://www.pokemon.com/us/pokedex/teddiursa
ursaring,236,217,18,1258,175,normal,NA,130,75,90,75,75,55,guts,quick-feet,unnerve,#A8A878,NA,NA,ground,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/217.png,2,216,110,6,upright,ursaring,http://www.pokemon.com/us/pokedex/ursaring
slugma,237,218,7,350,50,fire,NA,40,40,40,70,40,20,magma-armor,flame-body,weak-armor,#F08030,NA,NA,indeterminate,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/218.png,2,NA,111,2,squiggle,slugma,http://www.pokemon.com/us/pokedex/slugma
magcargo,238,219,8,550,144,fire,rock,50,120,50,80,80,30,magma-armor,flame-body,weak-armor,#F08030,#B8A038,#E28731,indeterminate,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/219.png,2,218,111,2,squiggle,magcargo,http://www.pokemon.com/us/pokedex/magcargo
swinub,239,220,4,65,50,ice,ground,50,40,50,30,30,50,oblivious,snow-cloak,thick-fat,#98D8D8,#E0C068,#A9D2BC,ground,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/220.png,2,NA,112,8,quadruped,swinub,http://www.pokemon.com/us/pokedex/swinub
piloswine,240,221,11,558,158,ice,ground,100,80,100,60,60,50,oblivious,snow-cloak,thick-fat,#98D8D8,#E0C068,#A9D2BC,ground,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/221.png,2,220,112,8,quadruped,piloswine,http://www.pokemon.com/us/pokedex/piloswine
corsola,241,222,6,50,133,water,rock,55,85,55,65,85,35,hustle,natural-cure,regenerator,#6890F0,#B8A038,#7B93C3,water1,water3,http://assets.pokemon.com/assets/cms2/img/pokedex/full/222.png,2,NA,113,14,armor,corsola,http://www.pokemon.com/us/pokedex/corsola
remoraid,242,223,6,120,60,water,NA,65,35,35,65,35,65,hustle,sniper,moody,#6890F0,NA,NA,water1,water2,http://assets.pokemon.com/assets/cms2/img/pokedex/full/223.png,2,NA,114,3,fish,remoraid,http://www.pokemon.com/us/pokedex/remoraid
octillery,243,224,9,285,168,water,NA,105,75,75,105,75,45,suction-cups,sniper,moody,#6890F0,NA,NA,water1,water2,http://assets.pokemon.com/assets/cms2/img/pokedex/full/224.png,2,223,114,10,tentacles,octillery,http://www.pokemon.com/us/pokedex/octillery
delibird,244,225,9,160,116,ice,flying,55,45,45,65,45,75,vital-spirit,hustle,insomnia,#98D8D8,#A890F0,#9BC6DD,water1,ground,http://assets.pokemon.com/assets/cms2/img/pokedex/full/225.png,2,NA,115,9,wings,delibird,http://www.pokemon.com/us/pokedex/delibird
mantine,245,226,21,2200,163,water,flying,40,70,65,80,140,70,swift-swim,water-absorb,water-veil,#6890F0,#A890F0,#7790F0,water1,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/226.png,2,458,116,9,wings,mantine,http://www.pokemon.com/us/pokedex/mantine
skarmory,246,227,17,505,163,steel,flying,80,140,65,40,70,70,keen-eye,sturdy,weak-armor,#B8B8D0,#A890F0,#B4AED7,flying,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/227.png,2,NA,117,9,wings,skarmory,http://www.pokemon.com/us/pokedex/skarmory
houndour,247,228,6,108,66,dark,fire,60,30,45,80,50,65,early-bird,flash-fire,unnerve,#705848,#F08030,#8F6142,ground,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/228.png,2,NA,118,8,quadruped,houndour,http://www.pokemon.com/us/pokedex/houndour
houndoom,248,229,14,350,175,dark,fire,90,50,75,110,80,95,early-bird,flash-fire,unnerve,#705848,#F08030,#8F6142,ground,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/229.png,2,228,118,8,quadruped,houndoom,http://www.pokemon.com/us/pokedex/houndoom
houndoom-mega,249,229,19,495,210,dark,fire,90,90,75,140,90,115,solar-power,NA,NA,#705848,#F08030,#8F6142,ground,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/229_f2.png,NA,NA,NA,NA,NA,houndoom,http://www.pokemon.com/us/pokedex/houndoom
kingdra,250,230,18,1520,243,water,dragon,95,95,75,95,95,85,swift-swim,sniper,damp,#6890F0,#7038F8,#697AF1,water1,dragon,http://assets.pokemon.com/assets/cms2/img/pokedex/full/230.png,2,117,54,5,blob,kingdra,http://www.pokemon.com/us/pokedex/kingdra
phanpy,251,231,5,335,66,ground,NA,60,60,90,40,40,40,pickup,NA,sand-veil,#E0C068,NA,NA,ground,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/231.png,2,NA,119,8,quadruped,phanpy,http://www.pokemon.com/us/pokedex/phanpy
donphan,252,232,11,1200,175,ground,NA,120,120,90,60,60,50,sturdy,NA,sand-veil,#E0C068,NA,NA,ground,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/232.png,2,231,119,8,quadruped,donphan,http://www.pokemon.com/us/pokedex/donphan
porygon2,253,233,6,325,180,normal,NA,80,90,85,105,95,60,trace,download,analytic,#A8A878,NA,NA,mineral,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/233.png,2,137,68,7,legs,porygon2,http://www.pokemon.com/us/pokedex/porygon2
stantler,254,234,14,712,163,normal,NA,95,62,73,85,65,85,intimidate,frisk,sap-sipper,#A8A878,NA,NA,ground,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/234.png,2,NA,120,8,quadruped,stantler,http://www.pokemon.com/us/pokedex/stantler
smeargle,255,235,12,580,88,normal,NA,20,35,55,20,45,75,own-tempo,technician,moody,#A8A878,NA,NA,ground,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/235.png,2,NA,121,6,upright,smeargle,http://www.pokemon.com/us/pokedex/smeargle
tyrogue,256,236,7,210,42,fighting,NA,35,35,35,35,35,35,guts,steadfast,vital-spirit,#C03028,NA,NA,no-eggs,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/236.png,2,NA,47,12,humanoid,tyrogue,http://www.pokemon.com/us/pokedex/tyrogue
hitmontop,257,237,14,480,159,fighting,NA,95,95,50,35,110,70,intimidate,technician,steadfast,#C03028,NA,NA,humanshape,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/237.png,2,236,47,6,upright,hitmontop,http://www.pokemon.com/us/pokedex/hitmontop
smoochum,258,238,4,60,61,ice,psychic,30,15,45,85,65,65,oblivious,forewarn,hydration,#98D8D8,#F85888,#AFB8C4,no-eggs,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/238.png,2,NA,59,12,humanoid,smoochum,http://www.pokemon.com/us/pokedex/smoochum
elekid,259,239,6,235,72,electric,NA,63,37,45,65,55,95,static,NA,vital-spirit,#F8D030,NA,NA,no-eggs,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/239.png,2,NA,60,12,humanoid,elekid,http://www.pokemon.com/us/pokedex/elekid
magby,260,240,7,214,73,fire,NA,75,37,45,70,55,83,flame-body,NA,vital-spirit,#F08030,NA,NA,no-eggs,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/240.png,2,NA,61,6,upright,magby,http://www.pokemon.com/us/pokedex/magby
miltank,261,241,12,755,172,normal,NA,80,105,95,40,70,100,thick-fat,scrappy,sap-sipper,#A8A878,NA,NA,ground,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/241.png,2,NA,122,6,upright,miltank,http://www.pokemon.com/us/pokedex/miltank
blissey,262,242,15,468,608,normal,NA,10,10,255,75,135,55,natural-cure,serene-grace,healer,#A8A878,NA,NA,fairy,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/242.png,2,113,51,12,humanoid,blissey,http://www.pokemon.com/us/pokedex/blissey
raikou,263,243,19,1780,261,electric,NA,85,75,90,115,100,115,pressure,NA,volt-absorb,#F8D030,NA,NA,no-eggs,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/243.png,2,NA,123,8,quadruped,raikou,http://www.pokemon.com/us/pokedex/raikou
entei,264,244,21,1980,261,fire,NA,115,85,115,90,75,100,pressure,NA,flash-fire,#F08030,NA,NA,no-eggs,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/244.png,2,NA,124,8,quadruped,entei,http://www.pokemon.com/us/pokedex/entei
suicune,265,245,20,1870,261,water,NA,75,115,100,90,115,85,pressure,NA,water-absorb,#6890F0,NA,NA,no-eggs,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/245.png,2,NA,125,8,quadruped,suicune,http://www.pokemon.com/us/pokedex/suicune
larvitar,266,246,6,720,60,rock,ground,64,50,50,45,50,41,guts,NA,sand-veil,#B8A038,#E0C068,#C1A743,monster,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/246.png,2,NA,126,6,upright,larvitar,http://www.pokemon.com/us/pokedex/larvitar
pupitar,267,247,12,1520,144,rock,ground,84,70,70,65,70,51,shed-skin,NA,NA,#B8A038,#E0C068,#C1A743,monster,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/247.png,2,246,126,2,squiggle,pupitar,http://www.pokemon.com/us/pokedex/pupitar
tyranitar,268,248,20,2020,270,rock,dark,134,110,100,95,100,61,sand-stream,NA,unnerve,#B8A038,#705848,#A68E3B,monster,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/248.png,2,247,126,6,upright,tyranitar,http://www.pokemon.com/us/pokedex/tyranitar
tyranitar-mega,269,248,25,2550,315,rock,dark,164,150,100,95,120,71,sand-stream,NA,NA,#B8A038,#705848,#A68E3B,monster,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/248_f2.png,NA,NA,NA,NA,NA,tyranitar,http://www.pokemon.com/us/pokedex/tyranitar
lugia,270,249,52,2160,306,psychic,flying,90,130,106,90,154,110,pressure,NA,multiscale,#F85888,#A890F0,#E465A1,no-eggs,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/249.png,2,NA,127,9,wings,lugia,http://www.pokemon.com/us/pokedex/lugia
ho-oh,271,250,38,1990,306,fire,flying,130,90,106,110,154,90,pressure,NA,regenerator,#F08030,#A890F0,#DE835E,no-eggs,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/250.png,2,NA,128,9,wings,ho-oh,http://www.pokemon.com/us/pokedex/ho-oh
celebi,272,251,6,50,270,psychic,grass,100,100,100,100,100,100,natural-cure,NA,NA,#F85888,#78C850,#D8737A,no-eggs,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/251.png,2,NA,129,12,humanoid,celebi,http://www.pokemon.com/us/pokedex/celebi
treecko,273,252,5,50,62,grass,NA,45,35,40,65,55,70,overgrow,NA,unburden,#78C850,NA,NA,monster,dragon,http://assets.pokemon.com/assets/cms2/img/pokedex/full/252.png,3,NA,130,6,upright,treecko,http://www.pokemon.com/us/pokedex/treecko
grovyle,274,253,9,216,142,grass,NA,65,45,50,85,65,95,overgrow,NA,unburden,#78C850,NA,NA,monster,dragon,http://assets.pokemon.com/assets/cms2/img/pokedex/full/253.png,3,252,130,6,upright,grovyle,http://www.pokemon.com/us/pokedex/grovyle
sceptile,275,254,17,522,239,grass,NA,85,65,70,105,85,120,overgrow,NA,unburden,#78C850,NA,NA,monster,dragon,http://assets.pokemon.com/assets/cms2/img/pokedex/full/254.png,3,253,130,6,upright,sceptile,http://www.pokemon.com/us/pokedex/sceptile
sceptile-mega,276,254,190,552,284,grass,dragon,110,75,70,145,85,145,lightning-rod,NA,NA,#78C850,#7038F8,#76A578,monster,dragon,http://assets.pokemon.com/assets/cms2/img/pokedex/full/254_f2.png,NA,NA,NA,NA,NA,sceptile,http://www.pokemon.com/us/pokedex/sceptile
torchic,277,255,4,25,62,fire,NA,60,40,45,70,50,45,blaze,NA,speed-boost,#F08030,NA,NA,ground,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/255.png,3,NA,131,7,legs,torchic,http://www.pokemon.com/us/pokedex/torchic
combusken,278,256,9,195,142,fire,fighting,85,60,60,85,60,55,blaze,NA,speed-boost,#F08030,#C03028,#E46C2E,ground,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/256.png,3,255,131,6,upright,combusken,http://www.pokemon.com/us/pokedex/combusken
blaziken,279,257,19,520,239,fire,fighting,120,70,80,110,70,80,blaze,NA,speed-boost,#F08030,#C03028,#E46C2E,ground,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/257.png,3,256,131,6,upright,blaziken,http://www.pokemon.com/us/pokedex/blaziken
blaziken-mega,280,257,19,520,284,fire,fighting,160,80,80,130,80,100,speed-boost,NA,NA,#F08030,#C03028,#E46C2E,ground,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/257_f2.png,NA,NA,NA,NA,NA,blaziken,http://www.pokemon.com/us/pokedex/blaziken
mudkip,281,258,4,76,62,water,NA,70,50,50,50,50,40,torrent,NA,damp,#6890F0,NA,NA,monster,water1,http://assets.pokemon.com/assets/cms2/img/pokedex/full/258.png,3,NA,132,8,quadruped,mudkip,http://www.pokemon.com/us/pokedex/mudkip
marshtomp,282,259,7,280,142,water,ground,85,70,70,60,70,50,torrent,NA,damp,#6890F0,#E0C068,#859BCF,monster,water1,http://assets.pokemon.com/assets/cms2/img/pokedex/full/259.png,3,258,132,6,upright,marshtomp,http://www.pokemon.com/us/pokedex/marshtomp
swampert,283,260,15,819,241,water,ground,110,90,100,85,90,60,torrent,NA,damp,#6890F0,#E0C068,#859BCF,monster,water1,http://assets.pokemon.com/assets/cms2/img/pokedex/full/260.png,3,259,132,6,upright,swampert,http://www.pokemon.com/us/pokedex/swampert
swampert-mega,284,260,190,1020,286,water,ground,150,110,100,95,110,70,swift-swim,NA,NA,#6890F0,#E0C068,#859BCF,monster,water1,http://assets.pokemon.com/assets/cms2/img/pokedex/full/260_f2.png,NA,NA,NA,NA,NA,swampert,http://www.pokemon.com/us/pokedex/swampert
poochyena,285,261,5,136,44,dark,NA,55,35,35,30,30,35,run-away,quick-feet,rattled,#705848,NA,NA,ground,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/261.png,3,NA,133,8,quadruped,poochyena,http://www.pokemon.com/us/pokedex/poochyena
mightyena,286,262,10,370,147,dark,NA,90,70,70,60,60,70,intimidate,quick-feet,moxie,#705848,NA,NA,ground,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/262.png,3,261,133,8,quadruped,mightyena,http://www.pokemon.com/us/pokedex/mightyena
zigzagoon,287,263,4,175,48,normal,NA,30,41,38,30,41,60,pickup,gluttony,quick-feet,#A8A878,NA,NA,ground,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/263.png,3,NA,134,8,quadruped,zigzagoon,http://www.pokemon.com/us/pokedex/zigzagoon
linoone,288,264,5,325,147,normal,NA,70,61,78,50,61,100,pickup,gluttony,quick-feet,#A8A878,NA,NA,ground,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/264.png,3,263,134,8,quadruped,linoone,http://www.pokemon.com/us/pokedex/linoone
wurmple,289,265,3,36,39,bug,NA,45,35,45,20,30,20,shield-dust,NA,run-away,#A8B820,NA,NA,bug,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/265.png,3,NA,135,2,squiggle,wurmple,http://www.pokemon.com/us/pokedex/wurmple
silcoon,290,266,6,100,72,bug,NA,35,55,50,25,25,15,shed-skin,NA,NA,#A8B820,NA,NA,bug,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/266.png,3,265,135,1,ball,silcoon,http://www.pokemon.com/us/pokedex/silcoon
beautifly,291,267,10,284,178,bug,flying,70,50,60,100,50,65,swarm,NA,rivalry,#A8B820,#A890F0,#A8AE52,bug,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/267.png,3,266,135,13,bug-wings,beautifly,http://www.pokemon.com/us/pokedex/beautifly
